FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
213,N04H101,9/1/2011,22:54:16,Heptane,759.8,0.14,0.86,0,0,4.16,4.15,0.24,1.6,Extinction
214,N04H201,9/1/2011,23:17:17,Heptane,759.9,0.14,0.86,0,0,1.83,,0.39,3.8,Extinction
215,N04M101,9/8/2011,17:00:27,Methanol,757.6,0.14,0.86,0,0,3.5,,0.3,26,Extinction
216,N04M201,9/8/2011,17:21:15,Methanol,758.3,0.14,0.86,0,0,2.67,1.27,0.38,15.6,Extinction
217,N05M101,9/8/2011,19:00:48,Methanol,759.4,0.13,0.87,0,0,3.46,2.96,0.36,9.5,Extinction
218,N05M201,9/8/2011,20:24:20,Methanol,760.6,0.13,0.87,0,0,2.75,1.46,0.35,16.3,Extinction
219,N06M101,9/9/2011,13:09:53,Methanol,761.6,0.12,0.88,0,0,2.6,2.09,0.36,6.9,Extinction
220,N06M201,9/9/2011,13:28:43,Methanol,761.9,0.12,0.88,0,0,1.94,1.05,0.35,7.8,Extinction
221,N06M202,9/9/2011,14:26:07,Methanol,763.7,0.12,0.88,0,0,1.84,1.04,0.38,6,Extinction
222,H01M102,9/9/2011,17:41:47,Methanol,759.2,0.2,0.75,0,0.05,2.91,1.12,0.51,14.4,Extinction
223,H01M104,9/9/2011,18:27:14,Methanol,759.6,0.2,0.75,0,0.05,,,,~6,Extinction
224,H01H102,9/13/2011,11:55:40,Heptane,755.3,0.2,0.75,0,0.05,2.25,,0.57,~9,Completion
225,H02M101,9/21/2011,22:28:54,Methanol,753.4,0.19,0.71,0,0.1,2.78,,0.57,12.5,Extinction
226,H03M101,9/22/2011,0:02:52,Methanol,759.2,0.18,0.67,0,0.15,2.79,1.3,0.51,12.5,Extinction
227,H03M201,9/22/2011,0:44:55,Methanol,760.3,0.18,0.67,0,0.15,2.95,1.67,0.53,11.7,Extinction
