FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
93,149F001,6/15/2010,0:32:31,Heptane,537.3,0.25,0.6,0.15,0,2.48,0,0.71,8.3,Disruption
94,C08H101,6/15/2010,2:10:43,Heptane,533.6,0.24,0.56,0.2,0,3.53,2.76,0.51,10.1,Extinction
95,C08H201,6/15/2010,3:22:41,Heptane,534.4,0.24,0.56,0.2,0,3.6,3.04,0.58,8,Extinction
96,C08H301,6/15/2010,4:37:39,Heptane,534.4,0.24,0.56,0.2,0,–,–,,5.2,Disruption
97,C08M101,6/16/2010,22:43:35,Methanol,534.2,0.23,0.56,0.2,0,4.25,2.6,0.45,26.5,Completion
98,C09M201,6/21/2010,14:21:26,Methanol,537.1,0.23,0.52,0.25,0,3.64,1.74,0.47,22.9,Extinction
99,C09M101,6/21/2010,12:57:34,Methanol,535,0.23,0.52,0.25,0,4.28,2.32,0.42,33,Extinction
100,C09H101,6/29/2010,8:30:46,Heptane,536.7,0.23,0.52,0.25,0,4.14,3.98,0.34,6.1,Extinction
101,C09H201,6/29/2010,9:38:10,Heptane,538.7,0.23,0.52,0.25,0,3.88,3.45,0.5,6.5,Extinction
102,C10H101,6/29/2010,11:21:09,Heptane,534.2,0.21,0.49,0.3,0,3.57,3.43,0.33,4.2,Extinction
103,C10H201,6/29/2010,11:56:02,Heptane,534.3,0.21,0.49,0.3,0,4,3.88,0.35,3.2,Extinction
104,C08M201,6/16/2010,23:04:00,Methanol,534.1,0.23,0.56,0.2,0,3.6,1.58,0.49,23.2,Extinction
105,C08M301,6/16/2010,23:29:19,Methanol,534.6,0.23,0.56,0.2,0,4.17,2,0.47,30.7,Disruption
106,C09M401,6/21/2010,15:52:51,Methanol,538.3,0.23,0.52,0.25,0,3.08,1.75,0.51,14.1,Disruption
107,C08M401,6/16/2010,23:51:26,Methanol,535,0.23,0.56,0.2,0,3.18,–,0.52,15.1,Disruption
108,C09M301,6/21/2010,15:35:57,Methanol,538.3,0.23,0.52,0.25,0,3.75,–,0.47,24.3,Completion
109,C10M102,8/31/2010,5:38:01,Methanol,536.5,0.21,0.49,0.3,0,3.56,1.92,0.42,,Extinction
110,C10M201,8/31/2010,7:16:40,Methanol,537,0.21,0.49,0.3,0,2.83,1.57,0.45,13,Extinction
111,C10M303,8/31/2010,8:58:24,Methanol,536.9,0.21,0.49,0.3,0,3.37,2.1,0.45,16.4,Completion
112,C10M401,9/1/2010,15:27:44,Methanol,530.7,0.21,0.49,0.3,0,3.99,2.35,0.43,25.2,Completion
113,C11M101,9/1/2010,19:17:58,Methanol,534.6,0.2,0.45,0.35,0,4.2,2.85,0.49,18.2,Extinction
114,C11M201,9/6/2010,19:14:22,Methanol,0,0.2,0.45,0.35,0,3.23,1.68,0.42,18.9,Extinction
115,C11M301,9/1/2010,20:40:16,Methanol,535.8,0.2,0.45,0.35,0,3.97,2.61,0.41,22.9,Extinction
116,C11M401,9/1/2010,20:57:41,Methanol,536.3,0.2,0.45,0.35,0,3.16,1.57,0.46,16.9,Extinction
117,C11H101,9/6/2010,18:14:53,Heptane,531.1,0.2,0.45,0.35,0,3.84,3.77,0.25,2.4,Extinction
118,C11H201,9/6/2010,19:14:22,Heptane,532.8,0.2,0.44,0.35,0,3.03,2.93,0.38,2.5,Extinction
119,C12H103,9/7/2010,1:50:01,Heptane,532.6,0.18,0.42,0.4,0,2.6,2.48,0.37,1.3,Extinction
120,C12H201,9/7/2010,1:08:26,Heptane,532.5,0.18,0.42,0.4,0,2.45,2.39,0.38,1.43,Extinction
121,C12M101,9/8/2010,19:21:31,Methanol,526.3,0.18,0.42,0.4,0,4.25,3.92,0.34,8,Extinction
122,C12M201,9/8/2010,21:44:37,Methanol,531.2,0.18,0.42,0.4,0,3.46,2.58,0.41,13.9,Extinction
123,C12M301,9/8/2010,22:16:51,Methanol,532,0.18,0.42,0.4,0,4.13,3.79,0.35,8.7,Extinction
124,C12M401,9/8/2010,22:45:54,Methanol,532.4,0.18,0.42,0.4,0,2.87,2.74,0.3,2.4,Extinction
125,C13M103,9/13/2010,21:07:02,Methanol,537.2,0.17,0.38,0.45,0,3.63,3.37,0.35,5.7,Extinction
126,C13M201,9/13/2010,18:11:39,Methanol,536.1,0.17,0.38,0.45,0,2.8,1.84,0.4,11.7,Extinction
127,C13M301,9/13/2010,19:22:49,Methanol,536.7,0.17,0.38,0.45,0,3.22,2.53,0.38,11,Extinction
128,C13M401,9/13/2010,19:49:24,Methanol,537.3,0.17,0.38,0.45,0,2.91,–,0.39,11.5,Extinction
129,C13H102,9/17/2010,1:32:49,Heptane,536.2,0.17,0.38,0.45,0,3.33,3.34,0.33,0.55,Extinction
130,C13H201,9/17/2010,3:55:59,Heptane,537.2,0.17,0.38,0.45,0,2.91,2.89,0.05,0.6,Extinction
131,C21H101,10/6/2010,11:28:52,Heptane,763.9,0.24,0.56,0.2,0,1.72,0.52,0.61,4.9,Disruption
132,C21H201,10/6/2010,12:59:06,Heptane,765.2,0.24,0.56,0.2,0,2.63,0.53,0.6,12.4,Disruption
133,C21H301,10/6/2010,13:59:59,Heptane,766.7,0.24,0.56,0.2,0,3.25,0.55,0.56,19,Disruption
134,C21H401,10/6/2010,14:57:06,Heptane,767.2,0.24,0.56,0.2,0,3.66,2.88,0.56,9.2,Extinction
135,C21H501,10/6/2010,16:22:15,Heptane,768.2,0.24,0.56,0.2,0,2.78,0,0.59,10.8,Completion
136,C21H302,10/6/2010,17:30:58,Heptane,768.1,0.24,0.56,0.2,0,3.08,–,0.51,17,Completion
137,C21H303,10/6/2010,17:53:35,Heptane,768.2,0.24,0.56,0.2,0,3.13,–,0.55,17.5,Disruption
138,C21H304,10/6/2010,18:08:43,Heptane,768.6,0.24,0.56,0.2,0,–,–,,,Disruption
139,C21H305,10/6/2010,19:09:45,Heptane,768,0.24,0.56,0.2,0,1.75,–,0.63,5.4,Disruption
140,C14M101,11/4/2010,16:52:39,Methanol,533.5,0.15,0.35,0.5,0,3.98,3.95,0.2,1.3,Extinction
141,C14M201,11/4/2010,18:07:51,Methanol,534.1,0.15,0.35,0.5,0,2.86,2.73,0.3,2.3,Extinction
142,C14M301,11/4/2010,19:11:39,Methanol,534.5,0.15,0.35,0.5,0,1.86,1.48,0.39,3.4,Extinction
143,C14M302,11/4/2010,20:19:22,Methanol,534.7,0.15,0.35,0.5,0,2.25,2.06,0.36,2.7,Extinction
144,C01M101,11/16/10,9:42:08,Methanol,761.9,0.2,0.75,0.05,0,3.53,1.53,0.45,23.8,Extinction
145,C01M201,11/16/10,10:21:24,Methanol,763.5,0.2,0.75,0.05,0,3.33,1.61,0.45,20,Extinction
146,C01M301,11/16/10,10:54:23,Methanol,765.5,0.2,0.75,0.05,0,4.35,1.95,0.41,39.2,Extinction
147,C13M102,9/13/2010,17:35:49,Methanol,535.7,0.17,0.38,0.45,0,3.02,2.49,0.4,7.8,Extinction
148,C01H101,11/18/10,8:39:27,Heptane,764.4,0.2,0.75,0.05,0,2.58,1.15,0.54,11.8,Disruption
149,C01H201,11/18/10,9:25:38,Heptane,766.2,0.2,0.75,0.05,0,2.21,0.82,0.53,8.9,Disruption
150,C01H302,11/18/10,10:17:02,Heptane,767.6,0.2,0.75,0.05,0,3.18,2.54,0.46,8,Extinction
151,C03M101,12/8/2010,18:31:22,Methanol,762.5,0.18,0.67,0.15,0,3.86,–,0.36,31.3,Completion
152,C03M201,12/8/2010,20:10:32,Methanol,765,0.18,0.67,0.15,0,3.33,1.23,0.43,23.2,Extinction
153,C03M301,12/8/2010,21:08:17,Methanol,765.6,0.18,0.67,0.15,0,2.78,1.19,0.42,15.7,Extinction
154,C03H101,12/9/2010,16:02:14,Heptane,762.3,0.18,0.67,0.15,0,3.7,3.6,0.34,2.2,Extinction
155,C03H201,12/9/2010,17:49:08,Heptane,764.9,0.18,0.67,0.15,0,2.73,2.52,0.39,2.7,Extinction
156,C03H401,12/9/2010,19:12:27,Heptane,765.7,0.18,0.67,0.15,0,1.34,0.45,0.48,3.2,Completion
157,C05M101,12/14/10,13:41:00,Methanol,762.1,0.16,0.59,0.25,0,4.24,3.96,0.3,7.6,Extinction
158,C05M201,12/14/10,14:30:46,Methanol,764.4,0.16,0.59,0.25,0,3.7,3.22,0.37,10.1,Extinction
159,C05M301,12/14/10,15:17:59,Methanol,765.5,0.16,0.59,0.25,0,2.71,1.34,0.38,14.9,Extinction
160,C05M401,12/14/10,17:51:58,Methanol,767.6,0.16,0.59,0.25,0,2.77,1.52,0.38,14.8,Extinction
161,C06M101,12/28/10,11:41:39,Methanol,763.3,0.15,0.54,0.32,0,3.72,3.5,0.28,6,Extinction
162,C06M201,12/28/10,12:05:23,Methanol,764.4,0.15,0.53,0.32,0,3.05,2.54,0.37,8.5,Extinction
163,C06M301,12/28/10,13:00:43,Methanol,765.9,0.15,0.53,0.32,0,2.59,1.63,0.37,11.6,Extinction
164,C06M401,12/28/10,13:36:43,Methanol,766.1,0.15,0.53,0.32,0,2.59,1.79,0.42,8.9,Extinction
